,risk,investment,entrepreneurship,venture,novel,innovation,patent,Divestiture,acquire,diversify,failure,success
AlkaIndia,,,,,,,,,,,,
AlpsIndustries,,,,,,,,,,,,
AmaraRajaBatteries,,,,,,,,,,,,
AnnaInfrastructures,,,,,,,,,,,,
AshianaIspat,,,,,,,,,,,,
AsianPaints,,,,,,,,,,,,
BhorukaAluminium,,,,,,,,,,,,
ChordiaFoodProducts,,,,,,,,,,,,
Dai_IchiKarkaria,,,,,,,,,,,,
GodrejIndustries,<begin>0.5994<end><begin>-0.2732<end><begin>-0.2732<end><begin>-0.2732<end><begin>-0.0857<end><begin>0.4215<end><begin>-0.34<end><begin>-0.7906<end><begin>-0.2732<end><begin>-0.4404<end><begin>-0.2732<end>,<begin>0.9814<end><begin>0.0<end><begin>0.8256<end><begin>0.6739<end><begin>0.0<end><begin>0.6739<end><begin>0.8256<end><begin>0.6739<end><begin>0.0<end><begin>0.0<end><begin>0.0<end><begin>0.8271<end><begin>0.6908<end><begin>0.6908<end><begin>0.5859<end><begin>0.0<end><begin>0.5859<end><begin>0.0<end><begin>0.93<end><begin>0.0<end><begin>0.0<end><begin>-0.7906<end><begin>0.296<end><begin>0.4767<end><begin>0.296<end><begin>0.0<end><begin>0.0<end><begin>0.91<end><begin>0.6597<end><begin>0.6249<end><begin>0.5574<end><begin>0.4019<end><begin>0.0<end><begin>0.5267<end><begin>0.6597<end><begin>0.9628<end><begin>0.0<end><begin>0.7264<end><begin>0.34<end><begin>0.0<end><begin>0.34<end><begin>0.7783<end><begin>0.3612<end><begin>0.4019<end><begin>0.3818<end><begin>0.9169<end><begin>0.0<end><begin>0.9371<end><begin>0.8718<end><begin>0.7506<end><begin>0.0<end><begin>0.1531<end><begin>0.25<end><begin>0.0<end><begin>0.9808<end><begin>0.9075<end><begin>0.5574<end><begin>-0.2263<end><begin>0.0<end><begin>0.5267<end><begin>0.296<end><begin>0.765<end><begin>0.9442<end><begin>0.0<end><begin>0.34<end><begin>0.7783<end><begin>0.3612<end><begin>0.6124<end><begin>0.296<end><begin>0.6124<end><begin>0.25<end><begin>0.0<end><begin>0.0<end><begin>0.34<end><begin>-0.2942<end><begin>0.5267<end><begin>-0.296<end><begin>0.0<end><begin>0.5574<end><begin>0.9313<end>,,<begin>0.0<end><begin>-0.7906<end><begin>0.0<end><begin>0.9371<end><begin>0.7906<end><begin>0.7506<end><begin>0.25<end><begin>0.6124<end><begin>0.4767<end><begin>0.25<end><begin>-0.2263<end><begin>0.6124<end><begin>0.25<end><begin>0.4767<end><begin>-0.296<end><begin>-0.0516<end><begin>0.8074<end><begin>0.2023<end><begin>0.2023<end>,<begin>0.3182<end>,<begin>0.3818<end><begin>0.8286<end>,,,<begin>0.3182<end><begin>-0.8056<end><begin>0.0<end><begin>0.0<end><begin>0.0<end><begin>0.5106<end><begin>0.6124<end><begin>-0.1531<end><begin>0.3818<end><begin>-0.4767<end><begin>0.0<end><begin>0.9022<end><begin>0.9169<end><begin>-0.8481<end><begin>0.0<end><begin>0.2577<end><begin>0.5106<end><begin>0.6486<end><begin>-0.1531<end><begin>0.1779<end><begin>0.2263<end><begin>0.926<end>,,<begin>-0.8316<end>,<begin>0.6486<end><begin>0.8625<end><begin>0.6249<end>
InvestmentandPrecisionCastings,,,,,,,,,,,,
ITLIndustries,,,,,,,,,,,,
JagsonpalPharmaceuticals,,,,,,,,,,,,
JayKayEnterprises,,,,,,,,,,,,
JindalPolyFilms,,,,,,,,,,,,
PearlPolymers,,,,,,,,,,,,
PolarIndustries,,,,,,,,,,,,
RubberProducts,,,,,,,,,,,,
SanghviMovers,,,,,,,,,,,,
ShantivijayJewels,,,,,,,,,,,,
SimmondsMarshall,,,,,,,,,,,,
Trent,,,,,,,,,,,,
